                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    113,                  1.059,                0.84612,                 1.2012,                0.87924,                0.86698,                 0.9068,                 0.6572,                 1.0096,                0.55986,                 1.1189,               0.006304,               0.006304,               0.006304
                    114,                 1.0535,                0.84326,                 1.1978,                0.87918,                0.86749,                0.90711,                0.65728,                 1.0093,                0.55935,                 1.1186,               0.006271,               0.006271,               0.006271
                    115,                 1.0552,                0.84409,                 1.1992,                0.87828,                0.86801,                0.90739,                0.65742,                  1.009,                0.55898,                 1.1185,               0.006238,               0.006238,               0.006238
                    116,                 1.0539,                0.83834,                 1.2002,                0.87875,                0.86759,                0.90714,                0.65749,                 1.0089,                0.55877,                 1.1185,               0.006205,               0.006205,               0.006205
                    117,                 1.0549,                0.84057,                 1.1993,                0.87794,                0.86808,                0.90722,                0.65766,                 1.0093,                0.55859,                 1.1185,               0.006172,               0.006172,               0.006172
                    118,                 1.0558,                0.84097,                 1.1987,                0.87692,                0.86838,                0.90718,                0.65781,                 1.0092,                0.55812,                 1.1185,               0.006139,               0.006139,               0.006139
                    119,                  1.053,                0.83849,                 1.1982,                 0.8779,                0.86782,                0.90723,                0.65798,                 1.0092,                0.55774,                 1.1184,               0.006106,               0.006106,               0.006106
                    120,                 1.0546,                0.83997,                 1.1988,                0.87868,                0.86719,                0.90721,                 0.6581,                 1.0091,                0.55739,                 1.1184,               0.006073,               0.006073,               0.006073
                    121,                 1.0544,                0.83683,                 1.1986,                0.87857,                0.86777,                0.90739,                0.65813,                 1.0093,                0.55704,                 1.1185,                0.00604,                0.00604,                0.00604
                    122,                 1.0503,                0.83136,                 1.1955,                0.87851,                0.86783,                0.90752,                0.65818,                 1.0092,                0.55668,                 1.1184,               0.006007,               0.006007,               0.006007
                    123,                 1.0514,                0.83305,                 1.1981,                0.87845,                0.86773,                0.90763,                0.65816,                 1.0088,                0.55618,                 1.1179,               0.005974,               0.005974,               0.005974
                    124,                 1.0521,                 0.8335,                 1.1968,                0.87873,                0.86816,                0.90754,                0.65825,                 1.0091,                0.55598,                 1.1179,               0.005941,               0.005941,               0.005941
                    125,                 1.0541,                0.83293,                 1.1965,                0.87853,                0.86803,                0.90755,                0.65831,                 1.0092,                0.55571,                 1.1178,               0.005908,               0.005908,               0.005908
                    126,                 1.0502,                0.83032,                 1.1947,                0.87885,                0.86845,                0.90764,                0.65845,                  1.009,                 0.5551,                 1.1174,               0.005875,               0.005875,               0.005875
                    127,                 1.0493,                0.83191,                 1.1912,                0.87771,                0.86913,                0.90768,                0.65853,                  1.009,                0.55489,                 1.1171,               0.005842,               0.005842,               0.005842
                    128,                 1.0478,                0.82941,                 1.1944,                0.87803,                0.86852,                0.90765,                0.65868,                  1.009,                0.55453,                 1.1169,               0.005809,               0.005809,               0.005809
                    129,                 1.0476,                0.82955,                 1.1958,                0.87953,                0.86686,                0.90789,                0.65866,                 1.0091,                0.55407,                 1.1169,               0.005776,               0.005776,               0.005776
                    130,                 1.0478,                0.82837,                 1.1908,                0.88005,                0.86678,                0.90794,                0.65885,                 1.0091,                 0.5536,                 1.1167,               0.005743,               0.005743,               0.005743
                    131,                 1.0475,                0.82599,                 1.1931,                0.87915,                 0.8677,                0.90795,                0.65903,                 1.0091,                0.55344,                 1.1166,                0.00571,                0.00571,                0.00571
                    132,                 1.0489,                0.82756,                 1.1945,                0.87912,                 0.8675,                0.90808,                 0.6588,                 1.0091,                0.55347,                 1.1165,               0.005677,               0.005677,               0.005677
                    133,                  1.045,                0.82519,                 1.1939,                0.87784,                 0.8684,                0.90811,                0.65902,                 1.0087,                0.55318,                 1.1163,               0.005644,               0.005644,               0.005644
                    134,                 1.0439,                0.82307,                 1.1942,                0.87768,                0.86886,                0.90813,                0.65903,                 1.0087,                0.55316,                 1.1163,               0.005611,               0.005611,               0.005611
                    135,                 1.0452,                0.82384,                  1.195,                 0.8784,                0.86774,                0.90807,                0.65903,                 1.0087,                0.55321,                 1.1163,               0.005578,               0.005578,               0.005578
                    136,                 1.0432,                0.82281,                 1.1916,                0.87853,                0.86827,                0.90862,                0.65921,                 1.0085,                0.55273,                  1.116,               0.005545,               0.005545,               0.005545
                    137,                  1.046,                0.82271,                  1.193,                0.87881,                0.86823,                0.90848,                0.65922,                 1.0085,                0.55262,                 1.1159,               0.005512,               0.005512,               0.005512
                    138,                 1.0405,                0.81808,                 1.1916,                 0.8786,                0.86867,                0.90859,                 0.6594,                 1.0084,                0.55247,                 1.1159,               0.005479,               0.005479,               0.005479
                    139,                 1.0421,                0.81731,                 1.1903,                0.87811,                0.86914,                0.90877,                0.65938,                 1.0085,                0.55196,                 1.1158,               0.005446,               0.005446,               0.005446
